     x        u       v
    0.010000000 -0.00044554593    0.085163036
    0.020000000   0.0047166931     0.16127015
    0.030000000 -0.00080053268     0.22918314
    0.040000000   0.0042925545     0.28968177
    0.050000000  -0.0010813759     0.34347161
    0.060000000   0.0039355038     0.39119109
    0.070000000  -0.0013015154     0.43341787
    0.080000000   0.0036333800     0.47067467
    0.090000000  -0.0014719550     0.50343443
     0.10000000   0.0033762266     0.53212510
     0.11000000  -0.0016017038     0.55713391
     0.12000000   0.0031558918     0.57881124
     0.13000000  -0.0016981377     0.59747411
     0.14000000   0.0029657015     0.61340939
     0.15000000  -0.0017672957     0.62687665
     0.16000000   0.0028001915     0.63811075
     0.17000000  -0.0018141221     0.64732419
     0.18000000   0.0026548880     0.65470928
     0.19000000  -0.0018426649     0.66044001
     0.20000000   0.0025261281     0.66467380
     0.21000000  -0.0018562384     0.66755311
     0.22000000   0.0024109130     0.66920683
     0.23000000  -0.0018575560     0.66975160
     0.24000000   0.0023067875     0.66929294
     0.25000000  -0.0018488394     0.66792635
     0.26000000   0.0022117414     0.66573823
     0.27000000  -0.0018319075     0.66280675
     0.28000000   0.0021241287     0.65920265
     0.29000000  -0.0018082494     0.65498995
     0.30000000   0.0020426022     0.65022655
     0.31000000  -0.0017790844     0.64496487
     0.32000000   0.0019660585     0.63925232
     0.33000000  -0.0017454107     0.63313181
     0.34000000   0.0018935945     0.62664217
     0.35000000  -0.0017080456     0.61981851
     0.36000000   0.0018244705     0.61269262
     0.37000000  -0.0016676583     0.60529327
     0.38000000   0.0017580812     0.59764648
     0.39000000  -0.0016247965     0.58977579
     0.40000000   0.0016939309     0.58170252
     0.41000000  -0.0015799089     0.57344594
     0.42000000   0.0016316136     0.56502349
     0.43000000  -0.0015333626     0.55645096
     0.44000000   0.0015707972     0.54774264
     0.45000000  -0.0014854583     0.53891143
     0.46000000   0.0015112095     0.52996905
     0.47000000  -0.0014364423     0.52092606
     0.48000000   0.0014526278     0.51179204
     0.49000000  -0.0013865159     0.50257566
     0.50000000   0.0013948698     0.49328475
     0.51000000  -0.0013358442     0.48392641
     0.52000000   0.0013377861     0.47450704
     0.53000000  -0.0012845624     0.46503247
     0.54000000   0.0012812546     0.45550794
     0.55000000  -0.0012327810     0.44593820
     0.56000000   0.0012251751     0.43632756
     0.57000000  -0.0011805905     0.42667991
     0.58000000   0.0011694657     0.41699878
     0.59000000  -0.0011280652     0.40728734
     0.60000000   0.0011140593     0.39754849
     0.61000000  -0.0010752658     0.38778483
     0.62000000   0.0010589009     0.37799872
     0.63000000  -0.0010222418     0.36819230
     0.64000000   0.0010039457     0.35836750
     0.65000000 -0.00096903406     0.34852607
     0.66000000  0.00094915680     0.33866960
     0.67000000 -0.00091567585     0.32879951
     0.68000000  0.00089450403     0.31891710
     0.69000000 -0.00086219445     0.30902354
     0.70000000  0.00083996273     0.29911990
     0.71000000 -0.00080861219     0.28920713
     0.72000000  0.00078551270     0.27928610
     0.73000000 -0.00075494735     0.26935760
     0.74000000  0.00073113739     0.25942234
     0.75000000 -0.00070121490     0.24948097
     0.76000000  0.00067682325     0.23953405
     0.77000000 -0.00064742709     0.22958213
     0.78000000  0.00062255920     0.21962568
     0.79000000 -0.00059359396     0.20966512
     0.80000000  0.00056833616     0.19970086
     0.81000000 -0.00053972373     0.18973323
     0.82000000  0.00051414669     0.17976257
     0.83000000 -0.00048582312     0.16978917
     0.84000000  0.00045998471     0.15981327
     0.85000000 -0.00043189763     0.14983512
     0.86000000  0.00040584524     0.13985494
     0.87000000 -0.00037795179     0.12987291
     0.88000000  0.00035172419     0.11988922
     0.89000000 -0.00032398927     0.10990402
     0.90000000  0.00029761823    0.099917450
     0.91000000 -0.00027001310    0.089929648
     0.92000000  0.00024352462    0.079940729
     0.93000000 -0.00021602575    0.069950798
     0.94000000  0.00018944112    0.059959952
     0.95000000 -0.00016202925    0.049968278
     0.96000000  0.00013536590    0.039975855
     0.97000000 -0.00010802526    0.029982754
     0.98000000  8.1297462E-05    0.019989040
     0.99000000 -5.4015143E-05   0.0099947712
      1.0000000  2.7234571E-05  5.8885730E-18
