     x        u       v
     0.16800000     0.65306735     0.64563365
     0.16900000     0.65391289     0.64648815
     0.17000000     0.65473999     0.64732419
     0.17100000     0.65554882     0.64814197
     0.17200000     0.65633956     0.64894166
     0.17300000     0.65711240     0.64972344
     0.17400000     0.65786751     0.65048750
     0.17500000     0.65860506     0.65123400
     0.17600000     0.65932524     0.65196313
     0.17700000     0.66002821     0.65267505
     0.17800000     0.66071415     0.65336993
     0.17900000     0.66138323     0.65404796
     0.18000000     0.66203561     0.65470928
     0.18100000     0.66267146     0.65535408
     0.18200000     0.66329094     0.65598251
     0.18300000     0.66389423     0.65659474
     0.18400000     0.66448147     0.65719093
     0.18500000     0.66505283     0.65777123
     0.18600000     0.66560846     0.65833581
     0.18700000     0.66614853     0.65888483
     0.18800000     0.66667319     0.65941843
     0.18900000     0.66718258     0.65993677
     0.19000000     0.66767687     0.66044001
     0.19100000     0.66815620     0.66092828
     0.19200000     0.66862073     0.66140175
     0.19300000     0.66907059     0.66186056
     0.19400000     0.66950594     0.66230486
     0.19500000     0.66992692     0.66273478
     0.19600000     0.67033367     0.66315048
     0.19700000     0.67072634     0.66355209
     0.19800000     0.67110506     0.66393975
     0.19900000     0.67146997     0.66431361
     0.20000000     0.67182121     0.66467380
     0.20100000     0.67215892     0.66502045
     0.20200000     0.67248324     0.66535371
     0.20300000     0.67279428     0.66567370
     0.20400000     0.67309219     0.66598055
     0.20500000     0.67337710     0.66627440
     0.20600000     0.67364914     0.66655538
     0.20700000     0.67390843     0.66682362
     0.20800000     0.67415510     0.66707923
     0.20900000     0.67438928     0.66732235
     0.21000000     0.67461109     0.66755311
     0.21100000     0.67482065     0.66777161
     0.21200000     0.67501809     0.66797800
     0.21300000     0.67520353     0.66817238
     0.21400000     0.67537708     0.66835487
     0.21500000     0.67553887     0.66852560
     0.21600000     0.67568901     0.66868469
     0.21700000     0.67582762     0.66883223
     0.21800000     0.67595481     0.66896837
     0.21900000     0.67607069     0.66909319
     0.22000000     0.67617539     0.66920683
     0.22100000     0.67626900     0.66930938
     0.22200000     0.67635164     0.66940097
     0.22300000     0.67642342     0.66948169
     0.22400000     0.67648445     0.66955167
     0.22500000     0.67653484     0.66961099
     0.22600000     0.67657468     0.66965978
     0.22700000     0.67660409     0.66969813
     0.22800000     0.67662317     0.66972614
     0.22900000     0.67663202     0.66974393
     0.23000000     0.67663074     0.66975160
     0.23100000     0.67661943     0.66974924
     0.23200000     0.67659820     0.66973695
     0.23300000     0.67656715     0.66971483
     0.23400000     0.67652636     0.66968299
     0.23500000     0.67647594     0.66964151
     0.23600000     0.67641598     0.66959049
     0.23700000     0.67634659     0.66953003
     0.23800000     0.67626784     0.66946023
     0.23900000     0.67617984     0.66938117
     0.24000000     0.67608267     0.66929294
     0.24100000     0.67597644     0.66919565
     0.24200000     0.67586122     0.66908937
     0.24300000     0.67573711     0.66897420
     0.24400000     0.67560420     0.66885023
     0.24500000     0.67546257     0.66871754
     0.24600000     0.67531231     0.66857622
     0.24700000     0.67515351     0.66842635
     0.24800000     0.67498624     0.66826803
     0.24900000     0.67481061     0.66810134
     0.25000000     0.67462668     0.66792635
     0.25100000     0.67443455     0.66774316
     0.25200000     0.67423429     0.66755183
     0.25300000     0.67402598     0.66735247
     0.25400000     0.67380970     0.66714513
     0.25500000     0.67358554     0.66692991
     0.25600000     0.67335358     0.66670688
     0.25700000     0.67311388     0.66647612
     0.25800000     0.67286652     0.66623771
     0.25900000     0.67261159     0.66599172
     0.26000000     0.67234916     0.66573823
     0.26100000     0.67207930     0.66547731
     0.26200000     0.67180209     0.66520903
     0.26300000     0.67151760     0.66493348
     0.26400000     0.67122590     0.66465072
     0.26500000     0.67092706     0.66436082
     0.26600000     0.67062116     0.66406385
     0.26700000     0.67030826     0.66375990
     0.26800000     0.66998844     0.66344901
     0.26900000     0.66966176     0.66313127
     0.27000000     0.66932829     0.66280675
     0.27100000     0.66898811     0.66247550
     0.27200000     0.66864127     0.66213759
     0.27300000     0.66828784     0.66179310
     0.27400000     0.66792789     0.66144209
     0.27500000     0.66756148     0.66108462
     0.27600000     0.66718868     0.66072076
     0.27700000     0.66680955     0.66035057
     0.27800000     0.66642416     0.65997411
     0.27900000     0.66603256     0.65959145
     0.28000000     0.66563482     0.65920265
     0.28100000     0.66523099     0.65880776
     0.28200000     0.66482115     0.65840686
     0.28300000     0.66440535     0.65799999
     0.28400000     0.66398364     0.65758723
     0.28500000     0.66355610     0.65716862
     0.28600000     0.66312277     0.65674422
     0.28700000     0.66268371     0.65631410
     0.28800000     0.66223898     0.65587831
     0.28900000     0.66178864     0.65543691
     0.29000000     0.66133274     0.65498995
     0.29100000     0.66087133     0.65453748
     0.29200000     0.66040449     0.65407957
     0.29300000     0.65993224     0.65361626
     0.29400000     0.65945466     0.65314762
     0.29500000     0.65897179     0.65267369
     0.29600000     0.65848369     0.65219452
     0.29700000     0.65799040     0.65171017
     0.29800000     0.65749199     0.65122070
     0.29900000     0.65698849     0.65072614
     0.30000000     0.65647997     0.65022655
     0.30100000     0.65596647     0.64972199
     0.30200000     0.65544804     0.64921249
     0.30300000     0.65492473     0.64869812
     0.30400000     0.65439658     0.64817891
     0.30500000     0.65386366     0.64765492
     0.30600000     0.65332599     0.64712620
     0.30700000     0.65278364     0.64659278
     0.30800000     0.65223665     0.64605473
     0.30900000     0.65168506     0.64551207
     0.31000000     0.65112892     0.64496487
     0.31100000     0.65056828     0.64441316
     0.31200000     0.65000317     0.64385700
     0.31300000     0.64943365     0.64329641
     0.31400000     0.64885976     0.64273146
     0.31500000     0.64828154     0.64216217
     0.31600000     0.64769904     0.64158861
     0.31700000     0.64711229     0.64101079
     0.31800000     0.64652134     0.64042878
     0.31900000     0.64592623     0.63984261
     0.32000000     0.64532701     0.63925232
     0.32100000     0.64472371     0.63865796
     0.32200000     0.64411637     0.63805956
     0.32300000     0.64350504     0.63745717
     0.32400000     0.64288976     0.63685081
     0.32500000     0.64227055     0.63624055
     0.32600000     0.64164747     0.63562640
     0.32700000     0.64102055     0.63500842
     0.32800000     0.64038983     0.63438663
     0.32900000     0.63975535     0.63376109
     0.33000000     0.63911714     0.63313181
     0.33100000     0.63847524     0.63249885
     0.33200000     0.63782969     0.63186224
     0.33300000     0.63718053     0.63122201
     0.33400000     0.63652779     0.63057821
     0.33500000     0.63587150     0.62993085
     0.33600000     0.63521171     0.62928000
     0.33700000     0.63454844     0.62862566
     0.33800000     0.63388173     0.62796789
     0.33900000     0.63321162     0.62730671
     0.34000000     0.63253813     0.62664217
     0.34100000     0.63186131     0.62597428
     0.34200000     0.63118119     0.62530309
     0.34300000     0.63049779     0.62462863
     0.34400000     0.62981116     0.62395093
     0.34500000     0.62912132     0.62327003
     0.34600000     0.62842830     0.62258595
     0.34700000     0.62773214     0.62189872
