     x        u       v
   0.0010000000 -4.4959763E-07   0.0089502117
   0.0020000000  4.9679380E-05    0.017801417
   0.0030000000 -8.8929468E-07    0.026554603
   0.0040000000  4.9143763E-05    0.035210742
   0.0050000000 -1.3192872E-06    0.043770802
   0.0060000000  4.8617754E-05    0.052235739
   0.0070000000 -1.7397673E-06    0.060606498
   0.0080000000  4.8101163E-05    0.068884017
   0.0090000000 -2.1509235E-06    0.077069223
    0.010000000  4.7593803E-05    0.085163036
    0.011000000 -2.5529402E-06    0.093166364
    0.012000000  4.7095491E-05     0.10108011
    0.013000000 -2.9459985E-06     0.10890516
    0.014000000  4.6606049E-05     0.11664240
    0.015000000 -3.3302758E-06     0.12429270
    0.016000000  4.6125300E-05     0.13185694
    0.017000000 -3.7059460E-06     0.13933596
    0.018000000  4.5653073E-05     0.14673061
    0.019000000 -4.0731794E-06     0.15404173
    0.020000000  4.5189199E-05     0.16127015
    0.021000000 -4.4321431E-06     0.16841671
    0.022000000  4.4733512E-05     0.17548220
    0.023000000 -4.7830010E-06     0.18246744
    0.024000000  4.4285850E-05     0.18937323
    0.025000000 -5.1259134E-06     0.19620035
    0.026000000  4.3846055E-05     0.20294959
    0.027000000 -5.4610378E-06     0.20962173
    0.028000000  4.3413970E-05     0.21621753
    0.029000000 -5.7885283E-06     0.22273775
    0.030000000  4.2989443E-05     0.22918314
    0.031000000 -6.1085362E-06     0.23555445
    0.032000000  4.2572325E-05     0.24185242
    0.033000000 -6.4212095E-06     0.24807776
    0.034000000  4.2162468E-05     0.25423122
    0.035000000 -6.7266934E-06     0.26031350
    0.036000000  4.1759728E-05     0.26632531
    0.037000000 -7.0251305E-06     0.27226735
    0.038000000  4.1363966E-05     0.27814032
    0.039000000 -7.3166602E-06     0.28394490
    0.040000000  4.0975042E-05     0.28968177
    0.041000000 -7.6014192E-06     0.29535161
    0.042000000  4.0592821E-05     0.30095509
    0.043000000 -7.8795417E-06     0.30649286
    0.044000000  4.0217171E-05     0.31196558
    0.045000000 -8.1511590E-06     0.31737389
    0.046000000  3.9847962E-05     0.32271844
    0.047000000 -8.4164000E-06     0.32799987
    0.048000000  3.9485065E-05     0.33321879
    0.049000000 -8.6753909E-06     0.33837583
    0.050000000  3.9128356E-05     0.34347161
    0.051000000 -8.9282555E-06     0.34850674
    0.052000000  3.8777713E-05     0.35348181
    0.053000000 -9.1751151E-06     0.35839744
    0.054000000  3.8433014E-05     0.36325420
    0.055000000 -9.4160886E-06     0.36805269
    0.056000000  3.8094144E-05     0.37279348
    0.057000000 -9.6512925E-06     0.37747715
    0.058000000  3.7760985E-05     0.38210427
    0.059000000 -9.8808412E-06     0.38667539
    0.060000000  3.7433426E-05     0.39119109
    0.061000000 -1.0104847E-05     0.39565190
    0.062000000  3.7111354E-05     0.40005838
    0.063000000 -1.0323418E-05     0.40441106
    0.064000000  3.6794662E-05     0.40871048
    0.065000000 -1.0536664E-05     0.41295717
    0.066000000  3.6483243E-05     0.41715166
    0.067000000 -1.0744689E-05     0.42129446
