     x        u       v
    0.010000000     0.16849921    0.085163036
    0.020000000     0.24370044     0.16127015
    0.030000000     0.31071437     0.22918314
    0.040000000     0.37032011     0.28968177
    0.050000000     0.42322265     0.34347161
    0.060000000     0.47005989     0.39119109
    0.070000000     0.51140901     0.43341787
    0.080000000     0.54779227     0.47067467
    0.090000000     0.57968225     0.50343443
     0.10000000     0.60750653     0.53212510
     0.11000000     0.63165201     0.55713391
     0.12000000     0.65246879     0.57881124
     0.13000000     0.67027362     0.59747411
     0.14000000     0.68535313     0.61340939
     0.15000000     0.69796668     0.62687665
     0.16000000     0.70834892     0.63811075
     0.17000000     0.71671220     0.64732419
     0.18000000     0.72324864     0.65470928
     0.19000000     0.72813210     0.66044001
     0.20000000     0.73151986     0.66467380
     0.21000000     0.73355428     0.66755311
     0.22000000     0.73436413     0.66920683
     0.23000000     0.73406595     0.66975160
     0.24000000     0.73276518     0.66929294
     0.25000000     0.73055723     0.66792635
     0.26000000     0.72752843     0.66573823
     0.27000000     0.72375689     0.66280675
     0.28000000     0.71931330     0.65920265
     0.29000000     0.71426161     0.65498995
     0.30000000     0.70865969     0.65022655
     0.31000000     0.70255990     0.64496487
     0.32000000     0.69600961     0.63925232
     0.33000000     0.68905170     0.63313181
     0.34000000     0.68172497     0.62664217
     0.35000000     0.67406449     0.61981851
     0.36000000     0.66610205     0.61269262
     0.37000000     0.65786636     0.60529327
     0.38000000     0.64938345     0.59764648
     0.39000000     0.64067682     0.58977579
     0.40000000     0.63176777     0.58170252
     0.41000000     0.62267557     0.57344594
     0.42000000     0.61341765     0.56502349
     0.43000000     0.60400976     0.55645096
     0.44000000     0.59446619     0.54774264
     0.45000000     0.58479985     0.53891143
     0.46000000     0.57502242     0.52996905
     0.47000000     0.56514446     0.52092606
     0.48000000     0.55517556     0.51179204
     0.49000000     0.54512436     0.50257566
     0.50000000     0.53499869     0.49328475
     0.51000000     0.52480564     0.48392641
     0.52000000     0.51455163     0.47450704
     0.53000000     0.50424245     0.46503247
     0.54000000     0.49388335     0.45550794
     0.55000000     0.48347909     0.44593820
     0.56000000     0.47303396     0.43632756
     0.57000000     0.46255185     0.42667991
     0.58000000     0.45203629     0.41699878
     0.59000000     0.44149044     0.40728734
     0.60000000     0.43091721     0.39754849
     0.61000000     0.42031918     0.38778483
     0.62000000     0.40969873     0.37799872
     0.63000000     0.39905798     0.36819230
     0.64000000     0.38839887     0.35836750
     0.65000000     0.37772314     0.34852607
     0.66000000     0.36703238     0.33866960
     0.67000000     0.35632801     0.32879951
     0.68000000     0.34561134     0.31891710
     0.69000000     0.33488353     0.30902354
     0.70000000     0.32414564     0.29911990
     0.71000000     0.31339863     0.28920713
     0.72000000     0.30264337     0.27928610
     0.73000000     0.29188064     0.26935760
     0.74000000     0.28111116     0.25942234
     0.75000000     0.27033557     0.24948097
     0.76000000     0.25955445     0.23953405
     0.77000000     0.24876832     0.22958213
     0.78000000     0.23797766     0.21962568
     0.79000000     0.22718291     0.20966512
     0.80000000     0.21638444     0.19970086
     0.81000000     0.20558263     0.18973323
     0.82000000     0.19477778     0.17976257
     0.83000000     0.18397018     0.16978917
     0.84000000     0.17316009     0.15981327
     0.85000000     0.16234776     0.14983512
     0.86000000     0.15153340     0.13985494
     0.87000000     0.14071719     0.12987291
     0.88000000     0.12989931     0.11988922
     0.89000000     0.11907993     0.10990402
     0.90000000     0.10825919    0.099917450
     0.91000000    0.097437209    0.089929648
     0.92000000    0.086614113    0.079940729
     0.93000000    0.075790007    0.069950798
     0.94000000    0.064964987    0.059959952
     0.95000000    0.054139139    0.049968278
     0.96000000    0.043312543    0.039975855
     0.97000000    0.032485269    0.029982754
     0.98000000    0.021657383    0.019989040
     0.99000000    0.010828942   0.0099947712
      1.0000000      0.0000000  5.8885730E-18
