     x        u       v
  0.00010000000   0.0017998492  0.00089950471
  0.00020000000   0.0026982748   0.0017980104
  0.00030000000   0.0035957024   0.0026955181
  0.00040000000   0.0044921330   0.0035920288
  0.00050000000   0.0053875675   0.0044875435
  0.00060000000   0.0062820071   0.0053820632
  0.00070000000   0.0071754526   0.0062755888
  0.00080000000   0.0080679052   0.0071681215
  0.00090000000   0.0089593657   0.0080596621
   0.0010000000   0.0098498351   0.0089502117
   0.0011000000    0.010739315   0.0098397712
   0.0012000000    0.011627805    0.010728342
   0.0013000000    0.012515307    0.011615924
   0.0014000000    0.013401822    0.012502519
   0.0015000000    0.014287351    0.013388128
   0.0016000000    0.015171895    0.014272753
   0.0017000000    0.016055455    0.015156393
   0.0018000000    0.016938032    0.016039049
   0.0019000000    0.017819626    0.016920724
   0.0020000000    0.018700240    0.017801417
   0.0021000000    0.019579873    0.018681131
   0.0022000000    0.020458527    0.019559865
   0.0023000000    0.021336203    0.020437621
   0.0024000000    0.022212901    0.021314399
   0.0025000000    0.023088623    0.022190201
   0.0026000000    0.023963370    0.023065028
   0.0027000000    0.024837143    0.023938881
   0.0028000000    0.025709942    0.024811760
   0.0029000000    0.026581769    0.025683667
   0.0030000000    0.027452624    0.026554603
   0.0031000000    0.028322509    0.027424568
   0.0032000000    0.029191424    0.028293563
   0.0033000000    0.030059371    0.029161590
   0.0034000000    0.030926350    0.030028650
   0.0035000000    0.031792363    0.030894743
   0.0036000000    0.032657410    0.031759870
   0.0037000000    0.033521493    0.032624033
   0.0038000000    0.034384612    0.033487232
   0.0039000000    0.035246768    0.034349468
   0.0040000000    0.036107963    0.035210742
   0.0041000000    0.036968196    0.036071056
   0.0042000000    0.037827470    0.036930410
   0.0043000000    0.038685785    0.037788805
   0.0044000000    0.039543142    0.038646242
   0.0045000000    0.040399542    0.039502722
   0.0046000000    0.041254986    0.040358247
   0.0047000000    0.042109475    0.041212816
   0.0048000000    0.042963010    0.042066431
   0.0049000000    0.043815592    0.042919093
   0.0050000000    0.044667221    0.043770802
   0.0051000000    0.045517900    0.044621561
   0.0052000000    0.046367628    0.045471369
   0.0053000000    0.047216407    0.046320228
   0.0054000000    0.048064237    0.047168139
   0.0055000000    0.048911120    0.048015102
   0.0056000000    0.049757057    0.048861118
   0.0057000000    0.050602048    0.049706189
   0.0058000000    0.051446094    0.050550316
