     x        u       v
  0.00010000000 -4.4996222E-10  0.00089950471
  0.00020000000  4.9967544E-07   0.0017980104
  0.00030000000 -8.9892544E-10   0.0026955181
  0.00040000000  4.9912690E-07   0.0035920288
  0.00050000000 -1.3468917E-09   0.0044875435
  0.00060000000  4.9857936E-07   0.0053820632
  0.00070000000 -1.7938629E-09   0.0062755888
  0.00080000000  4.9803281E-07   0.0071681215
  0.00090000000 -2.2398410E-09   0.0080596621
   0.0010000000  4.9748725E-07   0.0089502117
   0.0011000000 -2.6848282E-09   0.0098397712
   0.0012000000  4.9694268E-07    0.010728342
   0.0013000000 -3.1288263E-09    0.011615924
   0.0014000000  4.9639910E-07    0.012502519
   0.0015000000 -3.5718373E-09    0.013388128
   0.0016000000  4.9585651E-07    0.014272753
   0.0017000000 -4.0138631E-09    0.015156393
   0.0018000000  4.9531490E-07    0.016039049
   0.0019000000 -4.4549059E-09    0.016920724
   0.0020000000  4.9477427E-07    0.017801417
   0.0021000000 -4.8949674E-09    0.018681131
   0.0022000000  4.9423463E-07    0.019559865
   0.0023000000 -5.3340498E-09    0.020437621
   0.0024000000  4.9369596E-07    0.021314399
   0.0025000000 -5.7721548E-09    0.022190201
   0.0026000000  4.9315826E-07    0.023065028
   0.0027000000 -6.2092846E-09    0.023938881
   0.0028000000  4.9262155E-07    0.024811760
   0.0029000000 -6.6454410E-09    0.025683667
   0.0030000000  4.9208580E-07    0.026554603
   0.0031000000 -7.0806260E-09    0.027424568
   0.0032000000  4.9155102E-07    0.028293563
   0.0033000000 -7.5148415E-09    0.029161590
   0.0034000000  4.9101722E-07    0.030028650
   0.0035000000 -7.9480895E-09    0.030894743
   0.0036000000  4.9048438E-07    0.031759870
   0.0037000000 -8.3803719E-09    0.032624033
   0.0038000000  4.8995250E-07    0.033487232
   0.0039000000 -8.8116906E-09    0.034349468
   0.0040000000  4.8942159E-07    0.035210742
   0.0041000000 -9.2420475E-09    0.036071056
   0.0042000000  4.8889164E-07    0.036930410
   0.0043000000 -9.6714446E-09    0.037788805
   0.0044000000  4.8836264E-07    0.038646242
   0.0045000000 -1.0099884E-08    0.039502722
   0.0046000000  4.8783461E-07    0.040358247
   0.0047000000 -1.0527367E-08    0.041212816
   0.0048000000  4.8730753E-07    0.042066431
   0.0049000000 -1.0953896E-08    0.042919093
   0.0050000000  4.8678140E-07    0.043770802
   0.0051000000 -1.1379473E-08    0.044621561
   0.0052000000  4.8625622E-07    0.045471369
   0.0053000000 -1.1804100E-08    0.046320228
   0.0054000000  4.8573199E-07    0.047168139
   0.0055000000 -1.2227778E-08    0.048015102
   0.0056000000  4.8520871E-07    0.048861118
   0.0057000000 -1.2650510E-08    0.049706189
   0.0058000000  4.8468638E-07    0.050550316
   0.0059000000 -1.3072297E-08    0.051393499
   0.0060000000  4.8416499E-07    0.052235739
   0.0061000000 -1.3493141E-08    0.053077037
   0.0062000000  4.8364454E-07    0.053917395
   0.0063000000 -1.3913045E-08    0.054756812
   0.0064000000  4.8312503E-07    0.055595291
   0.0065000000 -1.4332010E-08    0.056432832
   0.0066000000  4.8260646E-07    0.057269435
   0.0067000000 -1.4750038E-08    0.058105103
   0.0068000000  4.8208882E-07    0.058939835
   0.0069000000 -1.5167130E-08    0.059773633
   0.0070000000  4.8157212E-07    0.060606498
   0.0071000000 -1.5583289E-08    0.061438430
   0.0072000000  4.8105635E-07    0.062269431
   0.0073000000 -1.5998517E-08    0.063099501
   0.0074000000  4.8054151E-07    0.063928642
   0.0075000000 -1.6412815E-08    0.064756854
   0.0076000000  4.8002760E-07    0.065584138
   0.0077000000 -1.6826185E-08    0.066410496
   0.0078000000  4.7951462E-07    0.067235928
   0.0079000000 -1.7238630E-08    0.068060434
   0.0080000000  4.7900256E-07    0.068884017
   0.0081000000 -1.7650150E-08    0.069706676
   0.0082000000  4.7849143E-07    0.070528414
   0.0083000000 -1.8060748E-08    0.071349230
   0.0084000000  4.7798122E-07    0.072169125
   0.0085000000 -1.8470426E-08    0.072988101
   0.0086000000  4.7747192E-07    0.073806159
   0.0087000000 -1.8879185E-08    0.074623299
   0.0088000000  4.7696355E-07    0.075439523
   0.0089000000 -1.9287028E-08    0.076254830
   0.0090000000  4.7645608E-07    0.077069223
   0.0091000000 -1.9693956E-08    0.077882702
   0.0092000000  4.7594954E-07    0.078695268
   0.0093000000 -2.0099971E-08    0.079506922
   0.0094000000  4.7544390E-07    0.080317665
   0.0095000000 -2.0505074E-08    0.081127497
   0.0096000000  4.7493918E-07    0.081936420
   0.0097000000 -2.0909269E-08    0.082744434
   0.0098000000  4.7443536E-07    0.083551541
   0.0099000000 -2.1312555E-08    0.084357741
    0.010000000  4.7393245E-07    0.085163036
    0.010100000 -2.1714936E-08    0.085967426
    0.010200000  4.7343045E-07    0.086770911
    0.010300000 -2.2116413E-08    0.087573494
    0.010400000  4.7292935E-07    0.088375175
    0.010500000 -2.2516988E-08    0.089175954
    0.010600000  4.7242915E-07    0.089975833
    0.010700000 -2.2916663E-08    0.090774813
    0.010800000  4.7192985E-07    0.091572894
    0.010900000 -2.3315439E-08    0.092370077
    0.011000000  4.7143145E-07    0.093166364
    0.011100000 -2.3713318E-08    0.093961755
    0.011200000  4.7093394E-07    0.094756251
    0.011300000 -2.4110302E-08    0.095549853
    0.011400000  4.7043733E-07    0.096342562
    0.011500000 -2.4506393E-08    0.097134378
    0.011600000  4.6994161E-07    0.097925303
    0.011700000 -2.4901593E-08    0.098715338
    0.011800000  4.6944677E-07    0.099504483
    0.011900000 -2.5295904E-08     0.10029274
    0.012000000  4.6895283E-07     0.10108011
    0.012100000 -2.5689326E-08     0.10186659
    0.012200000  4.6845978E-07     0.10265219
    0.012300000 -2.6081862E-08     0.10343690
    0.012400000  4.6796761E-07     0.10422072
    0.012500000 -2.6473515E-08     0.10500366
    0.012600000  4.6747632E-07     0.10578573
    0.012700000 -2.6864284E-08     0.10656690
    0.012800000  4.6698592E-07     0.10734720
    0.012900000 -2.7254173E-08     0.10812662
    0.013000000  4.6649639E-07     0.10890516
    0.013100000 -2.7643183E-08     0.10968282
    0.013200000  4.6600775E-07     0.11045960
    0.013300000 -2.8031316E-08     0.11123551
    0.013400000  4.6551998E-07     0.11201054
    0.013500000 -2.8418573E-08     0.11278470
    0.013600000  4.6503308E-07     0.11355798
    0.013700000 -2.8804957E-08     0.11433040
    0.013800000  4.6454706E-07     0.11510193
    0.013900000 -2.9190468E-08     0.11587260
    0.014000000  4.6406191E-07     0.11664240
    0.014100000 -2.9575109E-08     0.11741133
    0.014200000  4.6357762E-07     0.11817939
    0.014300000 -2.9958882E-08     0.11894658
    0.014400000  4.6309421E-07     0.11971291
    0.014500000 -3.0341788E-08     0.12047837
    0.014600000  4.6261166E-07     0.12124296
    0.014700000 -3.0723830E-08     0.12200669
    0.014800000  4.6212998E-07     0.12276956
    0.014900000 -3.1105007E-08     0.12353156
    0.015000000  4.6164915E-07     0.12429270
    0.015100000 -3.1485324E-08     0.12505299
    0.015200000  4.6116919E-07     0.12581241
    0.015300000 -3.1864780E-08     0.12657097
    0.015400000  4.6069009E-07     0.12732868
    0.015500000 -3.2243378E-08     0.12808553
    0.015600000  4.6021184E-07     0.12884152
    0.015700000 -3.2621120E-08     0.12959665
    0.015800000  4.5973445E-07     0.13035094
    0.015900000 -3.2998007E-08     0.13110436
    0.016000000  4.5925792E-07     0.13185694
    0.016100000 -3.3374041E-08     0.13260866
    0.016200000  4.5878223E-07     0.13335953
    0.016300000 -3.3749224E-08     0.13410955
    0.016400000  4.5830740E-07     0.13485872
    0.016500000 -3.4123557E-08     0.13560705
    0.016600000  4.5783342E-07     0.13635452
    0.016700000 -3.4497043E-08     0.13710115
    0.016800000  4.5736028E-07     0.13784693
    0.016900000 -3.4869682E-08     0.13859186
    0.017000000  4.5688799E-07     0.13933596
    0.017100000 -3.5241476E-08     0.14007920
    0.017200000  4.5641654E-07     0.14082161
    0.017300000 -3.5612428E-08     0.14156317
    0.017400000  4.5594593E-07     0.14230389
